date,attribute,value,pipeline
2010-09-01 00:00:00,0-30,0.0,tetco
2010-09-02 00:00:00,0-30,0.0,tetco
2010-09-03 00:00:00,0-30,0.0,tetco
2010-09-04 00:00:00,0-30,0.0,tetco
2010-09-05 00:00:00,0-30,0.0,tetco
2010-09-06 00:00:00,0-30,0.0,tetco
2010-09-07 00:00:00,0-30,0.0,tetco
2010-09-08 00:00:00,0-30,0.0,tetco
2010-09-09 00:00:00,0-30,0.0,tetco
2010-09-10 00:00:00,0-30,0.0,tetco
2010-09-11 00:00:00,0-30,0.0,tetco
2010-09-12 00:00:00,0-30,0.0,tetco
2010-09-13 00:00:00,0-30,0.0,tetco
2010-09-14 00:00:00,0-30,0.0,tetco
2010-09-15 00:00:00,0-30,0.0,tetco
2010-09-16 00:00:00,0-30,0.0,tetco
2010-09-17 00:00:00,0-30,0.0,tetco
2010-09-18 00:00:00,0-30,0.0,tetco
2010-09-19 00:00:00,0-30,0.0,tetco
2010-09-20 00:00:00,0-30,0.0,tetco
2010-09-21 00:00:00,0-30,0.0,tetco
2010-09-22 00:00:00,0-30,0.0,tetco
2010-09-23 00:00:00,0-30,0.0,tetco
2010-09-24 00:00:00,0-30,0.0,tetco
2010-09-25 00:00:00,0-30,0.0,tetco
2010-09-26 00:00:00,0-30,0.0,tetco
2010-09-27 00:00:00,0-30,0.0,tetco
2010-09-28 00:00:00,0-30,0.0,tetco
2010-09-29 00:00:00,0-30,0.0,tetco
2010-09-30 00:00:00,0-30,345.0,tetco
2010-10-01 00:00:00,0-30,0.0,tetco
2010-10-02 00:00:00,0-30,0.0,tetco
2010-10-03 00:00:00,0-30,0.0,tetco
2010-10-04 00:00:00,0-30,0.0,tetco
2010-10-05 00:00:00,0-30,0.0,tetco
2010-10-06 00:00:00,0-30,0.0,tetco
2010-10-07 00:00:00,0-30,0.0,tetco
2010-10-08 00:00:00,0-30,0.0,tetco
2010-10-09 00:00:00,0-30,0.0,tetco
2010-10-10 00:00:00,0-30,0.0,tetco
2010-10-11 00:00:00,0-30,0.0,tetco
2010-10-12 00:00:00,0-30,0.0,tetco
2010-10-13 00:00:00,0-30,0.0,tetco
2010-10-14 00:00:00,0-30,0.0,tetco
2010-10-15 00:00:00,0-30,0.0,tetco
2010-10-16 00:00:00,0-30,0.0,tetco
2010-10-17 00:00:00,0-30,0.0,tetco
2010-10-18 00:00:00,0-30,0.0,tetco
2010-10-19 00:00:00,0-30,0.0,tetco
2010-10-20 00:00:00,0-30,4012.0,tetco
2010-10-21 00:00:00,0-30,4905.0,tetco
2010-10-22 00:00:00,0-30,24714.0,tetco
2010-10-23 00:00:00,0-30,15003.0,tetco
2010-10-24 00:00:00,0-30,0.0,tetco
2010-10-25 00:00:00,0-30,0.0,tetco
2010-10-26 00:00:00,0-30,0.0,tetco
2010-10-27 00:00:00,0-30,0.0,tetco
2010-10-28 00:00:00,0-30,6000.0,tetco
2010-10-29 00:00:00,0-30,20815.0,tetco
2010-10-30 00:00:00,0-30,28811.0,tetco
2010-10-31 00:00:00,0-30,40206.0,tetco
2010-11-01 00:00:00,0-30,69136.0,tetco
2010-11-02 00:00:00,0-30,49387.0,tetco
2010-11-03 00:00:00,0-30,25054.0,tetco
2010-11-04 00:00:00,0-30,29961.0,tetco
2010-11-05 00:00:00,0-30,42107.0,tetco
2010-11-06 00:00:00,0-30,47700.0,tetco
2010-11-07 00:00:00,0-30,56114.0,tetco
2010-11-08 00:00:00,0-30,57046.0,tetco
2010-11-09 00:00:00,0-30,34346.0,tetco
2010-11-10 00:00:00,0-30,44921.0,tetco
2010-11-11 00:00:00,0-30,50851.0,tetco
2010-11-12 00:00:00,0-30,36565.0,tetco
2010-11-13 00:00:00,0-30,36375.0,tetco
2010-11-14 00:00:00,0-30,33697.0,tetco
2010-11-15 00:00:00,0-30,34506.0,tetco
2010-11-16 00:00:00,0-30,30981.0,tetco
2010-11-17 00:00:00,0-30,41093.0,tetco
2010-11-18 00:00:00,0-30,50459.0,tetco
2010-11-19 00:00:00,0-30,56398.0,tetco
2010-11-20 00:00:00,0-30,55251.0,tetco
2010-11-21 00:00:00,0-30,49847.0,tetco
2010-11-22 00:00:00,0-30,26766.0,tetco
2010-11-23 00:00:00,0-30,32886.0,tetco
2010-11-24 00:00:00,0-30,47900.0,tetco
2010-11-25 00:00:00,0-30,49304.0,tetco
2010-11-26 00:00:00,0-30,61554.0,tetco
2010-11-27 00:00:00,0-30,69063.0,tetco
2010-11-28 00:00:00,0-30,64849.0,tetco
2010-11-29 00:00:00,0-30,67908.0,tetco
2010-11-30 00:00:00,0-30,32246.0,tetco
2010-12-01 00:00:00,0-30,55387.0,tetco
2010-12-02 00:00:00,0-30,68466.0,tetco
2010-12-03 00:00:00,0-30,78262.0,tetco
2010-12-04 00:00:00,0-30,75643.0,tetco
2010-12-05 00:00:00,0-30,73926.0,tetco
