date,attribute,value,pipeline
2015-09-01 00:00:00,0-30,25006.0,tetco
2015-09-02 00:00:00,0-30,24905.0,tetco
2015-09-03 00:00:00,0-30,26194.0,tetco
2015-09-04 00:00:00,0-30,22761.0,tetco
2015-09-05 00:00:00,0-30,25127.0,tetco
2015-09-06 00:00:00,0-30,22991.0,tetco
2015-09-07 00:00:00,0-30,25450.0,tetco
2015-09-08 00:00:00,0-30,25284.0,tetco
2015-09-09 00:00:00,0-30,25464.0,tetco
2015-09-10 00:00:00,0-30,25440.0,tetco
2015-09-11 00:00:00,0-30,25438.0,tetco
2015-09-12 00:00:00,0-30,25375.0,tetco
2015-09-13 00:00:00,0-30,29755.0,tetco
2015-09-14 00:00:00,0-30,26861.0,tetco
2015-09-15 00:00:00,0-30,26054.0,tetco
2015-09-16 00:00:00,0-30,25451.0,tetco
2015-09-17 00:00:00,0-30,25916.0,tetco
2015-09-18 00:00:00,0-30,20536.0,tetco
2015-09-19 00:00:00,0-30,22540.0,tetco
2015-09-20 00:00:00,0-30,26844.0,tetco
2015-09-21 00:00:00,0-30,24856.0,tetco
2015-09-22 00:00:00,0-30,25202.0,tetco
2015-09-23 00:00:00,0-30,25644.0,tetco
2015-09-24 00:00:00,0-30,23067.0,tetco
2015-09-25 00:00:00,0-30,23094.0,tetco
2015-09-26 00:00:00,0-30,24267.0,tetco
2015-09-27 00:00:00,0-30,24275.0,tetco
2015-09-28 00:00:00,0-30,24700.0,tetco
2015-09-29 00:00:00,0-30,22734.0,tetco
2015-09-30 00:00:00,0-30,25626.0,tetco
2015-10-01 00:00:00,0-30,4097.0,tetco
2015-10-02 00:00:00,0-30,28803.0,tetco
2015-10-03 00:00:00,0-30,21850.0,tetco
2015-10-04 00:00:00,0-30,3616.0,tetco
2015-10-05 00:00:00,0-30,13139.0,tetco
2015-10-06 00:00:00,0-30,10974.0,tetco
2015-10-07 00:00:00,0-30,22527.0,tetco
2015-10-08 00:00:00,0-30,23786.0,tetco
2015-10-09 00:00:00,0-30,26404.0,tetco
2015-10-10 00:00:00,0-30,23252.0,tetco
2015-10-11 00:00:00,0-30,21431.0,tetco
2015-10-12 00:00:00,0-30,12841.0,tetco
2015-10-13 00:00:00,0-30,11389.0,tetco
2015-10-14 00:00:00,0-30,2901.0,tetco
2015-10-15 00:00:00,0-30,16063.0,tetco
2015-10-16 00:00:00,0-30,29433.0,tetco
2015-10-17 00:00:00,0-30,55310.0,tetco
2015-10-18 00:00:00,0-30,41962.0,tetco
2015-10-19 00:00:00,0-30,49781.0,tetco
2015-10-20 00:00:00,0-30,33787.0,tetco
2015-10-21 00:00:00,0-30,20206.0,tetco
2015-10-22 00:00:00,0-30,12154.0,tetco
2015-10-23 00:00:00,0-30,27529.0,tetco
2015-10-24 00:00:00,0-30,19243.0,tetco
2015-10-25 00:00:00,0-30,27621.0,tetco
2015-10-26 00:00:00,0-30,41221.0,tetco
2015-10-27 00:00:00,0-30,35574.0,tetco
2015-10-28 00:00:00,0-30,31873.0,tetco
2015-10-29 00:00:00,0-30,25848.0,tetco
2015-10-30 00:00:00,0-30,37185.0,tetco
2015-10-31 00:00:00,0-30,37112.0,tetco
2015-11-01 00:00:00,0-30,31070.0,tetco
2015-11-02 00:00:00,0-30,31436.0,tetco
2015-11-03 00:00:00,0-30,31976.0,tetco
2015-11-04 00:00:00,0-30,20273.0,tetco
2015-11-05 00:00:00,0-30,18190.0,tetco
2015-11-06 00:00:00,0-30,14168.0,tetco
2015-11-07 00:00:00,0-30,21856.0,tetco
2015-11-08 00:00:00,0-30,38911.0,tetco
2015-11-09 00:00:00,0-30,29087.0,tetco
2015-11-10 00:00:00,0-30,30461.0,tetco
2015-11-11 00:00:00,0-30,34471.0,tetco
2015-11-12 00:00:00,0-30,39591.0,tetco
2015-11-13 00:00:00,0-30,49850.0,tetco
2015-11-14 00:00:00,0-30,52088.0,tetco
2015-11-15 00:00:00,0-30,42042.0,tetco
2015-11-16 00:00:00,0-30,34513.0,tetco
2015-11-17 00:00:00,0-30,56216.0,tetco
2015-11-18 00:00:00,0-30,38882.0,tetco
2015-11-19 00:00:00,0-30,32536.0,tetco
2015-11-20 00:00:00,0-30,47827.0,tetco
2015-11-21 00:00:00,0-30,35859.0,tetco
2015-11-22 00:00:00,0-30,44884.0,tetco
2015-11-23 00:00:00,0-30,62373.0,tetco
2015-11-24 00:00:00,0-30,39437.0,tetco
2015-11-25 00:00:00,0-30,50083.0,tetco
2015-11-26 00:00:00,0-30,52609.0,tetco
2015-11-27 00:00:00,0-30,40416.0,tetco
2015-11-28 00:00:00,0-30,50420.0,tetco
2015-11-29 00:00:00,0-30,59924.0,tetco
2015-11-30 00:00:00,0-30,45323.0,tetco
2015-12-01 00:00:00,0-30,46567.0,tetco
2015-12-02 00:00:00,0-30,49151.0,tetco
2015-12-03 00:00:00,0-30,42743.0,tetco
2015-12-04 00:00:00,0-30,45882.0,tetco
2015-12-05 00:00:00,0-30,54671.0,tetco
2015-12-06 00:00:00,0-30,71526.0,tetco
2015-12-07 00:00:00,0-30,68481.0,tetco
2015-12-08 00:00:00,0-30,54801.0,tetco
2015-12-09 00:00:00,0-30,45318.0,tetco
2015-12-10 00:00:00,0-30,33553.0,tetco
2015-12-11 00:00:00,0-30,45004.0,tetco
2015-12-12 00:00:00,0-30,28918.0,tetco
2015-12-13 00:00:00,0-30,27636.0,tetco
2015-12-14 00:00:00,0-30,25237.0,tetco
2015-12-15 00:00:00,0-30,44485.0,tetco
2015-12-16 00:00:00,0-30,50467.0,tetco
2015-12-17 00:00:00,0-30,47127.0,tetco
2015-12-18 00:00:00,0-30,43000.0,tetco
2015-12-19 00:00:00,0-30,48710.0,tetco
2015-12-20 00:00:00,0-30,54926.0,tetco
2015-12-21 00:00:00,0-30,21280.0,tetco
2015-12-22 00:00:00,0-30,40083.0,tetco
2015-12-23 00:00:00,0-30,27865.0,tetco
2015-12-24 00:00:00,0-30,19087.0,tetco
2015-12-25 00:00:00,0-30,20308.0,tetco
2015-12-26 00:00:00,0-30,40996.0,tetco
2015-12-27 00:00:00,0-30,36921.0,tetco
