date,attribute,value,pipeline
2020-09-01 00:00:00,0-30,20304.0,tetco
2020-09-02 00:00:00,0-30,18653.0,tetco
2020-09-03 00:00:00,0-30,16862.0,tetco
2020-09-04 00:00:00,0-30,16139.0,tetco
2020-09-05 00:00:00,0-30,17315.0,tetco
2020-09-06 00:00:00,0-30,14997.0,tetco
2020-09-07 00:00:00,0-30,18451.0,tetco
2020-09-08 00:00:00,0-30,18771.0,tetco
2020-09-09 00:00:00,0-30,14702.0,tetco
2020-09-10 00:00:00,0-30,15614.0,tetco
2020-09-11 00:00:00,0-30,16861.0,tetco
2020-09-12 00:00:00,0-30,15007.0,tetco
2020-09-13 00:00:00,0-30,16565.0,tetco
2020-09-14 00:00:00,0-30,16065.0,tetco
2020-09-15 00:00:00,0-30,17761.0,tetco
2020-09-16 00:00:00,0-30,18360.0,tetco
2020-09-17 00:00:00,0-30,16774.0,tetco
2020-09-18 00:00:00,0-30,17390.0,tetco
2020-09-19 00:00:00,0-30,21229.0,tetco
2020-09-20 00:00:00,0-30,25473.0,tetco
2020-09-21 00:00:00,0-30,26387.0,tetco
2020-09-22 00:00:00,0-30,22094.0,tetco
2020-09-23 00:00:00,0-30,20147.0,tetco
2020-09-24 00:00:00,0-30,23091.0,tetco
2020-09-25 00:00:00,0-30,16486.0,tetco
2020-09-26 00:00:00,0-30,15542.0,tetco
2020-09-27 00:00:00,0-30,15364.0,tetco
2020-09-28 00:00:00,0-30,19365.0,tetco
2020-09-29 00:00:00,0-30,17260.0,tetco
2020-09-30 00:00:00,0-30,23068.0,tetco
2020-10-01 00:00:00,0-30,16636.0,tetco
2020-10-02 00:00:00,0-30,20066.0,tetco
2020-10-03 00:00:00,0-30,17548.0,tetco
2020-10-04 00:00:00,0-30,17767.0,tetco
2020-10-05 00:00:00,0-30,18114.0,tetco
2020-10-06 00:00:00,0-30,17822.0,tetco
2020-10-07 00:00:00,0-30,16330.0,tetco
2020-10-08 00:00:00,0-30,25077.0,tetco
2020-10-09 00:00:00,0-30,21365.0,tetco
2020-10-10 00:00:00,0-30,18020.0,tetco
2020-10-11 00:00:00,0-30,21045.0,tetco
2020-10-12 00:00:00,0-30,26454.0,tetco
2020-10-13 00:00:00,0-30,25249.0,tetco
2020-10-14 00:00:00,0-30,22426.0,tetco
2020-10-15 00:00:00,0-30,20758.0,tetco
2020-10-16 00:00:00,0-30,3007.0,tetco
2020-10-17 00:00:00,0-30,219.0,tetco
2020-10-18 00:00:00,0-30,10024.0,tetco
2020-10-19 00:00:00,0-30,5011.0,tetco
2020-10-20 00:00:00,0-30,25396.0,tetco
2020-10-21 00:00:00,0-30,20326.0,tetco
2020-10-22 00:00:00,0-30,18295.0,tetco
2020-10-23 00:00:00,0-30,18662.0,tetco
2020-10-24 00:00:00,0-30,1822.0,tetco
2020-10-25 00:00:00,0-30,33009.0,tetco
2020-10-26 00:00:00,0-30,24302.0,tetco
2020-10-27 00:00:00,0-30,19602.0,tetco
2020-10-28 00:00:00,0-30,18452.0,tetco
2020-10-29 00:00:00,0-30,35791.0,tetco
2020-10-30 00:00:00,0-30,45348.0,tetco
2020-10-31 00:00:00,0-30,45777.0,tetco
2020-11-01 00:00:00,0-30,48656.0,tetco
2020-11-02 00:00:00,0-30,48774.0,tetco
2020-11-03 00:00:00,0-30,36172.0,tetco
2020-11-04 00:00:00,0-30,29479.0,tetco
2020-11-05 00:00:00,0-30,32159.0,tetco
2020-11-06 00:00:00,0-30,25494.0,tetco
2020-11-07 00:00:00,0-30,6112.0,tetco
2020-11-08 00:00:00,0-30,0.0,tetco
2020-11-09 00:00:00,0-30,0.0,tetco
2020-11-10 00:00:00,0-30,0.0,tetco
2020-11-11 00:00:00,0-30,0.0,tetco
2020-11-12 00:00:00,0-30,37674.0,tetco
2020-11-13 00:00:00,0-30,53697.0,tetco
2020-11-14 00:00:00,0-30,56152.0,tetco
2020-11-15 00:00:00,0-30,51494.0,tetco
2020-11-16 00:00:00,0-30,58117.0,tetco
2020-11-17 00:00:00,0-30,57616.0,tetco
2020-11-18 00:00:00,0-30,42717.0,tetco
2020-11-19 00:00:00,0-30,49536.0,tetco
