date,attribute,value,pipeline
2019-09-01 00:00:00,0-30,12194.0,tetco
2019-09-02 00:00:00,0-30,15166.0,tetco
2019-09-03 00:00:00,0-30,14510.0,tetco
2019-09-04 00:00:00,0-30,15253.0,tetco
2019-09-05 00:00:00,0-30,15475.0,tetco
2019-09-06 00:00:00,0-30,14795.0,tetco
2019-09-07 00:00:00,0-30,14892.0,tetco
2019-09-08 00:00:00,0-30,16014.0,tetco
2019-09-09 00:00:00,0-30,14871.0,tetco
2019-09-10 00:00:00,0-30,15146.0,tetco
2019-09-11 00:00:00,0-30,14734.0,tetco
2019-09-12 00:00:00,0-30,14136.0,tetco
2019-09-13 00:00:00,0-30,13434.0,tetco
2019-09-14 00:00:00,0-30,13916.0,tetco
2019-09-15 00:00:00,0-30,14311.0,tetco
2019-09-16 00:00:00,0-30,14860.0,tetco
2019-09-17 00:00:00,0-30,20836.0,tetco
2019-09-18 00:00:00,0-30,190.0,tetco
2019-09-19 00:00:00,0-30,0.0,tetco
2019-09-20 00:00:00,0-30,0.0,tetco
2019-09-21 00:00:00,0-30,0.0,tetco
2019-09-22 00:00:00,0-30,0.0,tetco
2019-09-23 00:00:00,0-30,0.0,tetco
2019-09-24 00:00:00,0-30,2125.0,tetco
2019-09-25 00:00:00,0-30,4654.0,tetco
2019-09-26 00:00:00,0-30,1934.0,tetco
2019-09-27 00:00:00,0-30,0.0,tetco
2019-09-28 00:00:00,0-30,11471.0,tetco
2019-09-29 00:00:00,0-30,12057.0,tetco
2019-09-30 00:00:00,0-30,11789.0,tetco
2019-10-01 00:00:00,0-30,1177.0,tetco
2019-10-02 00:00:00,0-30,0.0,tetco
2019-10-03 00:00:00,0-30,0.0,tetco
2019-10-04 00:00:00,0-30,0.0,tetco
2019-10-05 00:00:00,0-30,0.0,tetco
2019-10-06 00:00:00,0-30,0.0,tetco
2019-10-07 00:00:00,0-30,0.0,tetco
2019-10-08 00:00:00,0-30,0.0,tetco
2019-10-09 00:00:00,0-30,0.0,tetco
2019-10-10 00:00:00,0-30,0.0,tetco
2019-10-11 00:00:00,0-30,0.0,tetco
2019-10-12 00:00:00,0-30,0.0,tetco
2019-10-13 00:00:00,0-30,0.0,tetco
2019-10-14 00:00:00,0-30,0.0,tetco
2019-10-15 00:00:00,0-30,0.0,tetco
2019-10-16 00:00:00,0-30,0.0,tetco
2019-10-17 00:00:00,0-30,0.0,tetco
2019-10-18 00:00:00,0-30,0.0,tetco
2019-10-19 00:00:00,0-30,0.0,tetco
2019-10-20 00:00:00,0-30,0.0,tetco
2019-10-21 00:00:00,0-30,0.0,tetco
2019-10-22 00:00:00,0-30,0.0,tetco
2019-10-23 00:00:00,0-30,8645.0,tetco
2019-10-24 00:00:00,0-30,575.0,tetco
2019-10-25 00:00:00,0-30,1086.0,tetco
2019-10-26 00:00:00,0-30,538.0,tetco
2019-10-27 00:00:00,0-30,11755.0,tetco
2019-10-28 00:00:00,0-30,16063.0,tetco
2019-10-29 00:00:00,0-30,595.0,tetco
2019-10-30 00:00:00,0-30,19079.0,tetco
2019-10-31 00:00:00,0-30,23084.0,tetco
2019-11-01 00:00:00,0-30,35856.0,tetco
2019-11-02 00:00:00,0-30,45466.0,tetco
2019-11-03 00:00:00,0-30,39317.0,tetco
2019-11-04 00:00:00,0-30,36684.0,tetco
2019-11-05 00:00:00,0-30,35236.0,tetco
2019-11-06 00:00:00,0-30,27551.0,tetco
2019-11-07 00:00:00,0-30,42005.0,tetco
2019-11-08 00:00:00,0-30,54948.0,tetco
2019-11-09 00:00:00,0-30,41715.0,tetco
2019-11-10 00:00:00,0-30,37088.0,tetco
2019-11-11 00:00:00,0-30,29499.0,tetco
2019-11-12 00:00:00,0-30,73345.0,tetco
2019-11-13 00:00:00,0-30,67409.0,tetco
