date,attribute,value,pipeline
2009-09-01 00:00:00,0-30,0.0,tetco
2009-09-02 00:00:00,0-30,0.0,tetco
2009-09-03 00:00:00,0-30,0.0,tetco
2009-09-04 00:00:00,0-30,0.0,tetco
2009-09-05 00:00:00,0-30,0.0,tetco
2009-09-06 00:00:00,0-30,0.0,tetco
2009-09-07 00:00:00,0-30,0.0,tetco
2009-09-08 00:00:00,0-30,0.0,tetco
2009-09-09 00:00:00,0-30,0.0,tetco
2009-09-10 00:00:00,0-30,0.0,tetco
2009-09-11 00:00:00,0-30,0.0,tetco
2009-09-12 00:00:00,0-30,0.0,tetco
2009-09-13 00:00:00,0-30,0.0,tetco
2009-09-14 00:00:00,0-30,0.0,tetco
2009-09-15 00:00:00,0-30,0.0,tetco
2009-09-16 00:00:00,0-30,0.0,tetco
2009-09-17 00:00:00,0-30,0.0,tetco
2009-09-18 00:00:00,0-30,0.0,tetco
2009-09-19 00:00:00,0-30,0.0,tetco
2009-09-20 00:00:00,0-30,0.0,tetco
2009-09-21 00:00:00,0-30,0.0,tetco
2009-09-22 00:00:00,0-30,0.0,tetco
2009-09-23 00:00:00,0-30,0.0,tetco
2009-09-24 00:00:00,0-30,0.0,tetco
2009-09-25 00:00:00,0-30,0.0,tetco
2009-09-26 00:00:00,0-30,0.0,tetco
2009-09-27 00:00:00,0-30,0.0,tetco
2009-09-28 00:00:00,0-30,0.0,tetco
2009-09-29 00:00:00,0-30,0.0,tetco
2009-09-30 00:00:00,0-30,0.0,tetco
2009-10-01 00:00:00,0-30,0.0,tetco
2009-10-02 00:00:00,0-30,0.0,tetco
2009-10-03 00:00:00,0-30,0.0,tetco
2009-10-04 00:00:00,0-30,0.0,tetco
2009-10-05 00:00:00,0-30,0.0,tetco
2009-10-06 00:00:00,0-30,0.0,tetco
2009-10-07 00:00:00,0-30,0.0,tetco
2009-10-08 00:00:00,0-30,0.0,tetco
2009-10-09 00:00:00,0-30,0.0,tetco
2009-10-10 00:00:00,0-30,0.0,tetco
2009-10-11 00:00:00,0-30,0.0,tetco
2009-10-12 00:00:00,0-30,2632.0,tetco
2009-10-13 00:00:00,0-30,12045.0,tetco
2009-10-14 00:00:00,0-30,23264.0,tetco
2009-10-15 00:00:00,0-30,46516.0,tetco
2009-10-16 00:00:00,0-30,50595.0,tetco
2009-10-17 00:00:00,0-30,40218.0,tetco
2009-10-18 00:00:00,0-30,43778.0,tetco
2009-10-19 00:00:00,0-30,25350.0,tetco
2009-10-20 00:00:00,0-30,12430.0,tetco
2009-10-21 00:00:00,0-30,5103.0,tetco
2009-10-22 00:00:00,0-30,906.0,tetco
2009-10-23 00:00:00,0-30,10535.0,tetco
2009-10-24 00:00:00,0-30,6003.0,tetco
2009-10-25 00:00:00,0-30,15495.0,tetco
2009-10-26 00:00:00,0-30,13870.0,tetco
2009-10-27 00:00:00,0-30,0.0,tetco
2009-10-28 00:00:00,0-30,0.0,tetco
2009-10-29 00:00:00,0-30,0.0,tetco
2009-10-30 00:00:00,0-30,0.0,tetco
2009-10-31 00:00:00,0-30,0.0,tetco
2009-11-01 00:00:00,0-30,29127.0,tetco
2009-11-02 00:00:00,0-30,28292.0,tetco
2009-11-03 00:00:00,0-30,39794.0,tetco
2009-11-04 00:00:00,0-30,40162.0,tetco
2009-11-05 00:00:00,0-30,44702.0,tetco
2009-11-06 00:00:00,0-30,59350.0,tetco
2009-11-07 00:00:00,0-30,49075.0,tetco
2009-11-08 00:00:00,0-30,34751.0,tetco
2009-11-09 00:00:00,0-30,31538.0,tetco
2009-11-10 00:00:00,0-30,23272.0,tetco
2009-11-11 00:00:00,0-30,47504.0,tetco
2009-11-12 00:00:00,0-30,59476.0,tetco
2009-11-13 00:00:00,0-30,39613.0,tetco
2009-11-14 00:00:00,0-30,41332.0,tetco
2009-11-15 00:00:00,0-30,44277.0,tetco
2009-11-16 00:00:00,0-30,32805.0,tetco
2009-11-17 00:00:00,0-30,33464.0,tetco
2009-11-18 00:00:00,0-30,37209.0,tetco
2009-11-19 00:00:00,0-30,38341.0,tetco
2009-11-20 00:00:00,0-30,36945.0,tetco
2009-11-21 00:00:00,0-30,38564.0,tetco
2009-11-22 00:00:00,0-30,36276.0,tetco
2009-11-23 00:00:00,0-30,40659.0,tetco
2009-11-24 00:00:00,0-30,42449.0,tetco
2009-11-25 00:00:00,0-30,41797.0,tetco
2009-11-26 00:00:00,0-30,46483.0,tetco
2009-11-27 00:00:00,0-30,62308.0,tetco
2009-11-28 00:00:00,0-30,63541.0,tetco
2009-11-29 00:00:00,0-30,56764.0,tetco
2009-11-30 00:00:00,0-30,64678.0,tetco
2009-12-01 00:00:00,0-30,61265.0,tetco
2009-12-02 00:00:00,0-30,38234.0,tetco
2009-12-03 00:00:00,0-30,39297.0,tetco
2009-12-04 00:00:00,0-30,54647.0,tetco
2009-12-05 00:00:00,0-30,83597.0,tetco
2009-12-06 00:00:00,0-30,91197.0,tetco
2009-12-07 00:00:00,0-30,89209.0,tetco
2009-12-08 00:00:00,0-30,88121.0,tetco
2009-12-09 00:00:00,0-30,65815.0,tetco
2009-12-10 00:00:00,0-30,90470.0,tetco
2009-12-11 00:00:00,0-30,89202.0,tetco
2009-12-12 00:00:00,0-30,81117.0,tetco
2009-12-13 00:00:00,0-30,73039.0,tetco
2009-12-14 00:00:00,0-30,67356.0,tetco
2009-12-15 00:00:00,0-30,80409.0,tetco
2009-12-16 00:00:00,0-30,88681.0,tetco
2009-12-17 00:00:00,0-30,92412.0,tetco
2009-12-18 00:00:00,0-30,92092.0,tetco
2009-12-19 00:00:00,0-30,98018.0,tetco
2009-12-20 00:00:00,0-30,91469.0,tetco
2009-12-21 00:00:00,0-30,84470.0,tetco
2009-12-22 00:00:00,0-30,86674.0,tetco
2009-12-23 00:00:00,0-30,93561.0,tetco
2009-12-24 00:00:00,0-30,90549.0,tetco
2009-12-25 00:00:00,0-30,77145.0,tetco
2009-12-26 00:00:00,0-30,56889.0,tetco
2009-12-27 00:00:00,0-30,69654.0,tetco
2009-12-28 00:00:00,0-30,98474.0,tetco
2009-12-29 00:00:00,0-30,100897.0,tetco
2009-12-30 00:00:00,0-30,98815.0,tetco
2009-12-31 00:00:00,0-30,97278.0,tetco
2010-01-01 00:00:00,0-30,68224.0,tetco
2010-01-02 00:00:00,0-30,101761.0,tetco
