date,attribute,value,pipeline
2016-09-01 00:00:00,0-30,24155.0,tetco
2016-09-02 00:00:00,0-30,23685.0,tetco
2016-09-03 00:00:00,0-30,26762.0,tetco
2016-09-04 00:00:00,0-30,25146.0,tetco
2016-09-05 00:00:00,0-30,28127.0,tetco
2016-09-06 00:00:00,0-30,26584.0,tetco
2016-09-07 00:00:00,0-30,27241.0,tetco
2016-09-08 00:00:00,0-30,25513.0,tetco
2016-09-09 00:00:00,0-30,23283.0,tetco
2016-09-10 00:00:00,0-30,23462.0,tetco
2016-09-11 00:00:00,0-30,28037.0,tetco
2016-09-12 00:00:00,0-30,23086.0,tetco
2016-09-13 00:00:00,0-30,22616.0,tetco
2016-09-14 00:00:00,0-30,22494.0,tetco
2016-09-15 00:00:00,0-30,22781.0,tetco
2016-09-16 00:00:00,0-30,21126.0,tetco
2016-09-17 00:00:00,0-30,23660.0,tetco
2016-09-18 00:00:00,0-30,25096.0,tetco
2016-09-19 00:00:00,0-30,15967.0,tetco
2016-09-20 00:00:00,0-30,13609.0,tetco
2016-09-21 00:00:00,0-30,14972.0,tetco
2016-09-22 00:00:00,0-30,20358.0,tetco
2016-09-23 00:00:00,0-30,21863.0,tetco
2016-09-24 00:00:00,0-30,23200.0,tetco
2016-09-25 00:00:00,0-30,26709.0,tetco
2016-09-26 00:00:00,0-30,24430.0,tetco
2016-09-27 00:00:00,0-30,19851.0,tetco
2016-09-28 00:00:00,0-30,19317.0,tetco
2016-09-29 00:00:00,0-30,23715.0,tetco
2016-09-30 00:00:00,0-30,21090.0,tetco
2016-10-01 00:00:00,0-30,18033.0,tetco
2016-10-02 00:00:00,0-30,19049.0,tetco
2016-10-03 00:00:00,0-30,18974.0,tetco
2016-10-04 00:00:00,0-30,23994.0,tetco
2016-10-05 00:00:00,0-30,19557.0,tetco
2016-10-06 00:00:00,0-30,18548.0,tetco
2016-10-07 00:00:00,0-30,15737.0,tetco
2016-10-08 00:00:00,0-30,16169.0,tetco
2016-10-09 00:00:00,0-30,24725.0,tetco
2016-10-10 00:00:00,0-30,30164.0,tetco
2016-10-11 00:00:00,0-30,27883.0,tetco
2016-10-12 00:00:00,0-30,19479.0,tetco
2016-10-13 00:00:00,0-30,19834.0,tetco
2016-10-14 00:00:00,0-30,21665.0,tetco
2016-10-15 00:00:00,0-30,22073.0,tetco
