date,attribute,value,pipeline
2011-09-01 00:00:00,0-30,0.0,tetco
2011-09-02 00:00:00,0-30,0.0,tetco
2011-09-03 00:00:00,0-30,0.0,tetco
2011-09-04 00:00:00,0-30,0.0,tetco
2011-09-05 00:00:00,0-30,0.0,tetco
2011-09-06 00:00:00,0-30,0.0,tetco
2011-09-07 00:00:00,0-30,0.0,tetco
2011-09-08 00:00:00,0-30,0.0,tetco
2011-09-09 00:00:00,0-30,0.0,tetco
2011-09-10 00:00:00,0-30,0.0,tetco
2011-09-11 00:00:00,0-30,0.0,tetco
2011-09-12 00:00:00,0-30,1546.0,tetco
2011-09-13 00:00:00,0-30,3236.0,tetco
2011-09-14 00:00:00,0-30,0.0,tetco
2011-09-15 00:00:00,0-30,0.0,tetco
2011-09-16 00:00:00,0-30,0.0,tetco
2011-09-17 00:00:00,0-30,0.0,tetco
2011-09-18 00:00:00,0-30,0.0,tetco
2011-09-19 00:00:00,0-30,0.0,tetco
2011-09-20 00:00:00,0-30,0.0,tetco
2011-09-21 00:00:00,0-30,0.0,tetco
2011-09-22 00:00:00,0-30,0.0,tetco
2011-09-23 00:00:00,0-30,0.0,tetco
2011-09-24 00:00:00,0-30,0.0,tetco
2011-09-25 00:00:00,0-30,0.0,tetco
2011-09-26 00:00:00,0-30,0.0,tetco
2011-09-27 00:00:00,0-30,0.0,tetco
2011-09-28 00:00:00,0-30,0.0,tetco
2011-09-29 00:00:00,0-30,0.0,tetco
2011-09-30 00:00:00,0-30,0.0,tetco
2011-10-01 00:00:00,0-30,0.0,tetco
2011-10-02 00:00:00,0-30,0.0,tetco
2011-10-03 00:00:00,0-30,2130.0,tetco
2011-10-04 00:00:00,0-30,9845.0,tetco
2011-10-05 00:00:00,0-30,0.0,tetco
2011-10-06 00:00:00,0-30,0.0,tetco
2011-10-07 00:00:00,0-30,0.0,tetco
2011-10-08 00:00:00,0-30,0.0,tetco
2011-10-09 00:00:00,0-30,0.0,tetco
2011-10-10 00:00:00,0-30,0.0,tetco
2011-10-11 00:00:00,0-30,0.0,tetco
2011-10-12 00:00:00,0-30,0.0,tetco
2011-10-13 00:00:00,0-30,0.0,tetco
2011-10-14 00:00:00,0-30,0.0,tetco
2011-10-15 00:00:00,0-30,0.0,tetco
2011-10-16 00:00:00,0-30,0.0,tetco
2011-10-17 00:00:00,0-30,0.0,tetco
