date,attribute,value,pipeline
2007-09-01 00:00:00,0-30,0.0,tetco
2007-09-02 00:00:00,0-30,0.0,tetco
2007-09-03 00:00:00,0-30,157.0,tetco
2007-09-04 00:00:00,0-30,0.0,tetco
2007-09-05 00:00:00,0-30,0.0,tetco
2007-09-06 00:00:00,0-30,0.0,tetco
2007-09-07 00:00:00,0-30,0.0,tetco
2007-09-08 00:00:00,0-30,0.0,tetco
2007-09-09 00:00:00,0-30,0.0,tetco
2007-09-10 00:00:00,0-30,0.0,tetco
2007-09-11 00:00:00,0-30,0.0,tetco
2007-09-12 00:00:00,0-30,0.0,tetco
2007-09-13 00:00:00,0-30,0.0,tetco
2007-09-14 00:00:00,0-30,0.0,tetco
2007-09-15 00:00:00,0-30,0.0,tetco
2007-09-16 00:00:00,0-30,0.0,tetco
2007-09-17 00:00:00,0-30,0.0,tetco
2007-09-18 00:00:00,0-30,0.0,tetco
2007-09-19 00:00:00,0-30,0.0,tetco
2007-09-20 00:00:00,0-30,0.0,tetco
2007-09-21 00:00:00,0-30,0.0,tetco
2007-09-22 00:00:00,0-30,0.0,tetco
2007-09-23 00:00:00,0-30,0.0,tetco
2007-09-24 00:00:00,0-30,0.0,tetco
2007-09-25 00:00:00,0-30,0.0,tetco
2007-09-26 00:00:00,0-30,0.0,tetco
2007-09-27 00:00:00,0-30,0.0,tetco
2007-09-28 00:00:00,0-30,0.0,tetco
2007-09-29 00:00:00,0-30,0.0,tetco
2007-09-30 00:00:00,0-30,0.0,tetco
2007-10-01 00:00:00,0-30,0.0,tetco
2007-10-02 00:00:00,0-30,0.0,tetco
2007-10-03 00:00:00,0-30,0.0,tetco
2007-10-04 00:00:00,0-30,0.0,tetco
2007-10-05 00:00:00,0-30,0.0,tetco
2007-10-06 00:00:00,0-30,0.0,tetco
2007-10-07 00:00:00,0-30,0.0,tetco
2007-10-08 00:00:00,0-30,0.0,tetco
2007-10-09 00:00:00,0-30,0.0,tetco
2007-10-10 00:00:00,0-30,0.0,tetco
2007-10-11 00:00:00,0-30,0.0,tetco
2007-10-12 00:00:00,0-30,19.0,tetco
2007-10-13 00:00:00,0-30,0.0,tetco
