date,attribute,value,pipeline
2013-09-01 00:00:00,0-30,0.0,tetco
2013-09-02 00:00:00,0-30,0.0,tetco
2013-09-03 00:00:00,0-30,0.0,tetco
2013-09-04 00:00:00,0-30,0.0,tetco
2013-09-05 00:00:00,0-30,0.0,tetco
2013-09-06 00:00:00,0-30,0.0,tetco
2013-09-07 00:00:00,0-30,0.0,tetco
2013-09-08 00:00:00,0-30,0.0,tetco
2013-09-09 00:00:00,0-30,0.0,tetco
2013-09-10 00:00:00,0-30,0.0,tetco
2013-09-11 00:00:00,0-30,0.0,tetco
2013-09-12 00:00:00,0-30,0.0,tetco
2013-09-13 00:00:00,0-30,0.0,tetco
2013-09-14 00:00:00,0-30,0.0,tetco
2013-09-15 00:00:00,0-30,0.0,tetco
2013-09-16 00:00:00,0-30,0.0,tetco
2013-09-17 00:00:00,0-30,0.0,tetco
2013-09-18 00:00:00,0-30,0.0,tetco
2013-09-19 00:00:00,0-30,0.0,tetco
2013-09-20 00:00:00,0-30,0.0,tetco
2013-09-21 00:00:00,0-30,0.0,tetco
2013-09-22 00:00:00,0-30,0.0,tetco
2013-09-23 00:00:00,0-30,0.0,tetco
2013-09-24 00:00:00,0-30,0.0,tetco
2013-09-25 00:00:00,0-30,0.0,tetco
2013-09-26 00:00:00,0-30,0.0,tetco
2013-09-27 00:00:00,0-30,0.0,tetco
2013-09-28 00:00:00,0-30,0.0,tetco
2013-09-29 00:00:00,0-30,0.0,tetco
2013-09-30 00:00:00,0-30,0.0,tetco
2013-10-01 00:00:00,0-30,0.0,tetco
2013-10-02 00:00:00,0-30,0.0,tetco
2013-10-03 00:00:00,0-30,0.0,tetco
2013-10-04 00:00:00,0-30,0.0,tetco
2013-10-05 00:00:00,0-30,0.0,tetco
2013-10-06 00:00:00,0-30,0.0,tetco
2013-10-07 00:00:00,0-30,0.0,tetco
2013-10-08 00:00:00,0-30,0.0,tetco
2013-10-09 00:00:00,0-30,0.0,tetco
2013-10-10 00:00:00,0-30,0.0,tetco
2013-10-11 00:00:00,0-30,0.0,tetco
2013-10-12 00:00:00,0-30,0.0,tetco
2013-10-13 00:00:00,0-30,0.0,tetco
2013-10-14 00:00:00,0-30,0.0,tetco
2013-10-15 00:00:00,0-30,0.0,tetco
2013-10-16 00:00:00,0-30,0.0,tetco
2013-10-17 00:00:00,0-30,0.0,tetco
2013-10-18 00:00:00,0-30,0.0,tetco
2013-10-19 00:00:00,0-30,0.0,tetco
2013-10-20 00:00:00,0-30,8554.0,tetco
2013-10-21 00:00:00,0-30,12798.0,tetco
2013-10-22 00:00:00,0-30,4609.0,tetco
2013-10-23 00:00:00,0-30,12793.0,tetco
2013-10-24 00:00:00,0-30,9684.0,tetco
2013-10-25 00:00:00,0-30,7343.0,tetco
2013-10-26 00:00:00,0-30,3674.0,tetco
2013-10-27 00:00:00,0-30,7363.0,tetco
2013-10-28 00:00:00,0-30,5806.0,tetco
2013-10-29 00:00:00,0-30,2520.0,tetco
2013-10-30 00:00:00,0-30,7353.0,tetco
2013-10-31 00:00:00,0-30,0.0,tetco
2013-11-01 00:00:00,0-30,13333.0,tetco
2013-11-02 00:00:00,0-30,18230.0,tetco
2013-11-03 00:00:00,0-30,36432.0,tetco
2013-11-04 00:00:00,0-30,20750.0,tetco
2013-11-05 00:00:00,0-30,13151.0,tetco
2013-11-06 00:00:00,0-30,575.0,tetco
2013-11-07 00:00:00,0-30,12498.0,tetco
2013-11-08 00:00:00,0-30,36622.0,tetco
2013-11-09 00:00:00,0-30,17800.0,tetco
2013-11-10 00:00:00,0-30,22418.0,tetco
2013-11-11 00:00:00,0-30,17122.0,tetco
2013-11-12 00:00:00,0-30,35636.0,tetco
2013-11-13 00:00:00,0-30,57557.0,tetco
2013-11-14 00:00:00,0-30,45775.0,tetco
2013-11-15 00:00:00,0-30,36105.0,tetco
2013-11-16 00:00:00,0-30,17545.0,tetco
2013-11-17 00:00:00,0-30,146.0,tetco
2013-11-18 00:00:00,0-30,12199.0,tetco
2013-11-19 00:00:00,0-30,45353.0,tetco
2013-11-20 00:00:00,0-30,46780.0,tetco
2013-11-21 00:00:00,0-30,26257.0,tetco
2013-11-22 00:00:00,0-30,17448.0,tetco
2013-11-23 00:00:00,0-30,47726.0,tetco
2013-11-24 00:00:00,0-30,84168.0,tetco
2013-11-25 00:00:00,0-30,69946.0,tetco
2013-11-26 00:00:00,0-30,58629.0,tetco
2013-11-27 00:00:00,0-30,54949.0,tetco
2013-11-28 00:00:00,0-30,59607.0,tetco
2013-11-29 00:00:00,0-30,58533.0,tetco
2013-11-30 00:00:00,0-30,60043.0,tetco
2013-12-01 00:00:00,0-30,64142.0,tetco
2013-12-02 00:00:00,0-30,48033.0,tetco
2013-12-03 00:00:00,0-30,42614.0,tetco
2013-12-04 00:00:00,0-30,28147.0,tetco
2013-12-05 00:00:00,0-30,35535.0,tetco
2013-12-06 00:00:00,0-30,55896.0,tetco
2013-12-07 00:00:00,0-30,62924.0,tetco
2013-12-08 00:00:00,0-30,78290.0,tetco
2013-12-09 00:00:00,0-30,60706.0,tetco
2013-12-10 00:00:00,0-30,79270.0,tetco
2013-12-11 00:00:00,0-30,79723.0,tetco
2013-12-12 00:00:00,0-30,89875.0,tetco
2013-12-13 00:00:00,0-30,79650.0,tetco
2013-12-14 00:00:00,0-30,82772.0,tetco
2013-12-15 00:00:00,0-30,74034.0,tetco
2013-12-16 00:00:00,0-30,87491.0,tetco
2013-12-17 00:00:00,0-30,87939.0,tetco
2013-12-18 00:00:00,0-30,80219.0,tetco
2013-12-19 00:00:00,0-30,58496.0,tetco
2013-12-20 00:00:00,0-30,35971.0,tetco
2013-12-21 00:00:00,0-30,7875.0,tetco
2013-12-22 00:00:00,0-30,4693.0,tetco
2013-12-23 00:00:00,0-30,30738.0,tetco
2013-12-24 00:00:00,0-30,55265.0,tetco
2013-12-25 00:00:00,0-30,74979.0,tetco
2013-12-26 00:00:00,0-30,65485.0,tetco
2013-12-27 00:00:00,0-30,62544.0,tetco
2013-12-28 00:00:00,0-30,64582.0,tetco
2013-12-29 00:00:00,0-30,54987.0,tetco
2013-12-30 00:00:00,0-30,85368.0,tetco
2013-12-31 00:00:00,0-30,90756.0,tetco
2014-01-01 00:00:00,0-30,60848.0,tetco
2014-01-02 00:00:00,0-30,90205.0,tetco
2014-01-03 00:00:00,0-30,113475.0,tetco
2014-01-04 00:00:00,0-30,92758.0,tetco
2014-01-05 00:00:00,0-30,53130.0,tetco
2014-01-06 00:00:00,0-30,89349.0,tetco
2014-01-07 00:00:00,0-30,110656.0,tetco
2014-01-08 00:00:00,0-30,103955.0,tetco
2014-01-09 00:00:00,0-30,75105.0,tetco
2014-01-10 00:00:00,0-30,69335.0,tetco
2014-01-11 00:00:00,0-30,19369.0,tetco
2014-01-12 00:00:00,0-30,56668.0,tetco
2014-01-13 00:00:00,0-30,44037.0,tetco
2014-01-14 00:00:00,0-30,58865.0,tetco
2014-01-15 00:00:00,0-30,67095.0,tetco
2014-01-16 00:00:00,0-30,69543.0,tetco
2014-01-17 00:00:00,0-30,78225.0,tetco
2014-01-18 00:00:00,0-30,78524.0,tetco
2014-01-19 00:00:00,0-30,82256.0,tetco
2014-01-20 00:00:00,0-30,90225.0,tetco
2014-01-21 00:00:00,0-30,104400.0,tetco
2014-01-22 00:00:00,0-30,112402.0,tetco
2014-01-23 00:00:00,0-30,105938.0,tetco
2014-01-24 00:00:00,0-30,103480.0,tetco
2014-01-25 00:00:00,0-30,102840.0,tetco
2014-01-26 00:00:00,0-30,91429.0,tetco
2014-01-27 00:00:00,0-30,93802.0,tetco
2014-01-28 00:00:00,0-30,109986.0,tetco
2014-01-29 00:00:00,0-30,116389.0,tetco
2014-01-30 00:00:00,0-30,104930.0,tetco
2014-01-31 00:00:00,0-30,87179.0,tetco
2014-02-01 00:00:00,0-30,70094.0,tetco
2014-02-02 00:00:00,0-30,62749.0,tetco
2014-02-03 00:00:00,0-30,81179.0,tetco
2014-02-04 00:00:00,0-30,85845.0,tetco
2014-02-05 00:00:00,0-30,85102.0,tetco
2014-02-06 00:00:00,0-30,92396.0,tetco
2014-02-07 00:00:00,0-30,80962.0,tetco
2014-02-08 00:00:00,0-30,87244.0,tetco
2014-02-09 00:00:00,0-30,95959.0,tetco
2014-02-10 00:00:00,0-30,102328.0,tetco
2014-02-11 00:00:00,0-30,116128.0,tetco
2014-02-12 00:00:00,0-30,99497.0,tetco
2014-02-13 00:00:00,0-30,89485.0,tetco
2014-02-14 00:00:00,0-30,85437.0,tetco
2014-02-15 00:00:00,0-30,87906.0,tetco
2014-02-16 00:00:00,0-30,98725.0,tetco
2014-02-17 00:00:00,0-30,91156.0,tetco
2014-02-18 00:00:00,0-30,74610.0,tetco
2014-02-19 00:00:00,0-30,67966.0,tetco
2014-02-20 00:00:00,0-30,54466.0,tetco
2014-02-21 00:00:00,0-30,61209.0,tetco
2014-02-22 00:00:00,0-30,40020.0,tetco
2014-02-23 00:00:00,0-30,49774.0,tetco
2014-02-24 00:00:00,0-30,79175.0,tetco
2014-02-25 00:00:00,0-30,83768.0,tetco
2014-02-26 00:00:00,0-30,92323.0,tetco
2014-02-27 00:00:00,0-30,119234.0,tetco
2014-02-28 00:00:00,0-30,108851.0,tetco
2014-03-01 00:00:00,0-30,97106.0,tetco
2014-03-02 00:00:00,0-30,98059.0,tetco
2014-03-03 00:00:00,0-30,115308.0,tetco
2014-03-04 00:00:00,0-30,105277.0,tetco
2014-03-05 00:00:00,0-30,94272.0,tetco
2014-03-06 00:00:00,0-30,78895.0,tetco
2014-03-07 00:00:00,0-30,63085.0,tetco
2014-03-08 00:00:00,0-30,23464.0,tetco
2014-03-09 00:00:00,0-30,41282.0,tetco
2014-03-10 00:00:00,0-30,21396.0,tetco
2014-03-11 00:00:00,0-30,9289.0,tetco
2014-03-12 00:00:00,0-30,45548.0,tetco
2014-03-13 00:00:00,0-30,76466.0,tetco
2014-03-14 00:00:00,0-30,73369.0,tetco
2014-03-15 00:00:00,0-30,58199.0,tetco
2014-03-16 00:00:00,0-30,73935.0,tetco
2014-03-17 00:00:00,0-30,72902.0,tetco
2014-03-18 00:00:00,0-30,76030.0,tetco
2014-03-19 00:00:00,0-30,61690.0,tetco
2014-03-20 00:00:00,0-30,42984.0,tetco
2014-03-21 00:00:00,0-30,46936.0,tetco
2014-03-22 00:00:00,0-30,21330.0,tetco
2014-03-23 00:00:00,0-30,62370.0,tetco
2014-03-24 00:00:00,0-30,79736.0,tetco
2014-03-25 00:00:00,0-30,73185.0,tetco
2014-03-26 00:00:00,0-30,74617.0,tetco
2014-03-27 00:00:00,0-30,61961.0,tetco
2014-03-28 00:00:00,0-30,24016.0,tetco
2014-03-29 00:00:00,0-30,23830.0,tetco
2014-03-30 00:00:00,0-30,58415.0,tetco
2014-03-31 00:00:00,0-30,29896.0,tetco
2014-04-01 00:00:00,0-30,47235.0,tetco
2014-04-02 00:00:00,0-30,32107.0,tetco
2014-04-03 00:00:00,0-30,8296.0,tetco
2014-04-04 00:00:00,0-30,49301.0,tetco
2014-04-05 00:00:00,0-30,40352.0,tetco
2014-04-06 00:00:00,0-30,32811.0,tetco
2014-04-07 00:00:00,0-30,33912.0,tetco
2014-04-08 00:00:00,0-30,14728.0,tetco
2014-04-09 00:00:00,0-30,18876.0,tetco
2014-04-10 00:00:00,0-30,24708.0,tetco
2014-04-11 00:00:00,0-30,11036.0,tetco
2014-04-12 00:00:00,0-30,0.0,tetco
2014-04-13 00:00:00,0-30,0.0,tetco
2014-04-14 00:00:00,0-30,0.0,tetco
2014-04-15 00:00:00,0-30,24557.0,tetco
2014-04-16 00:00:00,0-30,52384.0,tetco
2014-04-17 00:00:00,0-30,42530.0,tetco
2014-04-18 00:00:00,0-30,45082.0,tetco
2014-04-19 00:00:00,0-30,19016.0,tetco
2014-04-20 00:00:00,0-30,21108.0,tetco
2014-04-21 00:00:00,0-30,16274.0,tetco
2014-04-22 00:00:00,0-30,965.0,tetco
2014-04-23 00:00:00,0-30,13153.0,tetco
2014-04-24 00:00:00,0-30,14768.0,tetco
2014-04-25 00:00:00,0-30,14150.0,tetco
2014-04-26 00:00:00,0-30,10462.0,tetco
2014-04-27 00:00:00,0-30,22638.0,tetco
2014-04-28 00:00:00,0-30,19207.0,tetco
2014-04-29 00:00:00,0-30,45248.0,tetco
2014-04-30 00:00:00,0-30,28584.0,tetco
2014-05-01 00:00:00,0-30,0.0,tetco
2014-05-02 00:00:00,0-30,0.0,tetco
2014-05-03 00:00:00,0-30,0.0,tetco
2014-05-04 00:00:00,0-30,0.0,tetco
2014-05-05 00:00:00,0-30,17411.0,tetco
2014-05-06 00:00:00,0-30,9724.0,tetco
2014-05-07 00:00:00,0-30,11042.0,tetco
2014-05-08 00:00:00,0-30,6503.0,tetco
2014-05-09 00:00:00,0-30,0.0,tetco
2014-05-10 00:00:00,0-30,0.0,tetco
2014-05-11 00:00:00,0-30,0.0,tetco
2014-05-12 00:00:00,0-30,0.0,tetco
2014-05-13 00:00:00,0-30,0.0,tetco
2014-05-14 00:00:00,0-30,0.0,tetco
2014-05-15 00:00:00,0-30,0.0,tetco
2014-05-16 00:00:00,0-30,0.0,tetco
2014-05-17 00:00:00,0-30,2755.0,tetco
2014-05-18 00:00:00,0-30,7951.0,tetco
2014-05-19 00:00:00,0-30,0.0,tetco
2014-05-20 00:00:00,0-30,0.0,tetco
2014-05-21 00:00:00,0-30,0.0,tetco
2014-05-22 00:00:00,0-30,0.0,tetco
2014-05-23 00:00:00,0-30,0.0,tetco
2014-05-24 00:00:00,0-30,0.0,tetco
2014-05-25 00:00:00,0-30,0.0,tetco
2014-05-26 00:00:00,0-30,0.0,tetco
2014-05-27 00:00:00,0-30,0.0,tetco
2014-05-28 00:00:00,0-30,5383.0,tetco
2014-05-29 00:00:00,0-30,13732.0,tetco
2014-05-30 00:00:00,0-30,6446.0,tetco
2014-05-31 00:00:00,0-30,5004.0,tetco
2014-06-01 00:00:00,0-30,0.0,tetco
2014-06-02 00:00:00,0-30,0.0,tetco
2014-06-03 00:00:00,0-30,0.0,tetco
2014-06-04 00:00:00,0-30,0.0,tetco
2014-06-05 00:00:00,0-30,0.0,tetco
2014-06-06 00:00:00,0-30,0.0,tetco
2014-06-07 00:00:00,0-30,0.0,tetco
2014-06-08 00:00:00,0-30,0.0,tetco
2014-06-09 00:00:00,0-30,0.0,tetco
2014-06-10 00:00:00,0-30,0.0,tetco
2014-06-11 00:00:00,0-30,0.0,tetco
2014-06-12 00:00:00,0-30,0.0,tetco
2014-06-13 00:00:00,0-30,0.0,tetco
2014-06-14 00:00:00,0-30,0.0,tetco
2014-06-15 00:00:00,0-30,0.0,tetco
2014-06-16 00:00:00,0-30,0.0,tetco
2014-06-17 00:00:00,0-30,0.0,tetco
2014-06-18 00:00:00,0-30,0.0,tetco
2014-06-19 00:00:00,0-30,0.0,tetco
2014-06-20 00:00:00,0-30,0.0,tetco
2014-06-21 00:00:00,0-30,0.0,tetco
2014-06-22 00:00:00,0-30,0.0,tetco
2014-06-23 00:00:00,0-30,0.0,tetco
2014-06-24 00:00:00,0-30,0.0,tetco
2014-06-25 00:00:00,0-30,482.0,tetco
2014-06-26 00:00:00,0-30,1997.0,tetco
2014-06-27 00:00:00,0-30,0.0,tetco
2014-06-28 00:00:00,0-30,0.0,tetco
2014-06-29 00:00:00,0-30,0.0,tetco
2014-06-30 00:00:00,0-30,559.0,tetco
2014-07-01 00:00:00,0-30,6268.0,tetco
2014-07-02 00:00:00,0-30,7470.0,tetco
2014-07-03 00:00:00,0-30,7357.0,tetco
2014-07-04 00:00:00,0-30,7358.0,tetco
2014-07-05 00:00:00,0-30,7443.0,tetco
2014-07-06 00:00:00,0-30,7434.0,tetco
2014-07-07 00:00:00,0-30,7451.0,tetco
2014-07-08 00:00:00,0-30,7456.0,tetco
2014-07-09 00:00:00,0-30,7441.0,tetco
2014-07-10 00:00:00,0-30,7426.0,tetco
2014-07-11 00:00:00,0-30,7445.0,tetco
2014-07-12 00:00:00,0-30,7513.0,tetco
2014-07-13 00:00:00,0-30,7545.0,tetco
2014-07-14 00:00:00,0-30,7717.0,tetco
2014-07-15 00:00:00,0-30,7464.0,tetco
2014-07-16 00:00:00,0-30,11766.0,tetco
2014-07-17 00:00:00,0-30,11555.0,tetco
2014-07-18 00:00:00,0-30,7862.0,tetco
2014-07-19 00:00:00,0-30,7445.0,tetco
2014-07-20 00:00:00,0-30,8264.0,tetco
2014-07-21 00:00:00,0-30,8414.0,tetco
2014-07-22 00:00:00,0-30,7562.0,tetco
2014-07-23 00:00:00,0-30,7566.0,tetco
2014-07-24 00:00:00,0-30,8163.0,tetco
2014-07-25 00:00:00,0-30,7435.0,tetco
2014-07-26 00:00:00,0-30,7440.0,tetco
2014-07-27 00:00:00,0-30,7441.0,tetco
2014-07-28 00:00:00,0-30,7660.0,tetco
2014-07-29 00:00:00,0-30,7442.0,tetco
2014-07-30 00:00:00,0-30,7956.0,tetco
2014-07-31 00:00:00,0-30,7417.0,tetco
2014-08-01 00:00:00,0-30,7981.0,tetco
2014-08-02 00:00:00,0-30,7422.0,tetco
2014-08-03 00:00:00,0-30,7433.0,tetco
2014-08-04 00:00:00,0-30,7430.0,tetco
2014-08-05 00:00:00,0-30,7436.0,tetco
2014-08-06 00:00:00,0-30,7433.0,tetco
2014-08-07 00:00:00,0-30,7436.0,tetco
2014-08-08 00:00:00,0-30,7440.0,tetco
2014-08-09 00:00:00,0-30,7440.0,tetco
2014-08-10 00:00:00,0-30,7440.0,tetco
2014-08-11 00:00:00,0-30,7559.0,tetco
2014-08-12 00:00:00,0-30,7433.0,tetco
2014-08-13 00:00:00,0-30,7443.0,tetco
2014-08-14 00:00:00,0-30,7438.0,tetco
2014-08-15 00:00:00,0-30,479.0,tetco
2014-08-16 00:00:00,0-30,0.0,tetco
2014-08-17 00:00:00,0-30,0.0,tetco
2014-08-18 00:00:00,0-30,0.0,tetco
2014-08-19 00:00:00,0-30,0.0,tetco
2014-08-20 00:00:00,0-30,6664.0,tetco
2014-08-21 00:00:00,0-30,8385.0,tetco
2014-08-22 00:00:00,0-30,738.0,tetco
2014-08-23 00:00:00,0-30,0.0,tetco
2014-08-24 00:00:00,0-30,0.0,tetco
2014-08-25 00:00:00,0-30,0.0,tetco
2014-08-26 00:00:00,0-30,0.0,tetco
2014-08-27 00:00:00,0-30,0.0,tetco
2014-08-28 00:00:00,0-30,0.0,tetco
2014-08-29 00:00:00,0-30,0.0,tetco
2014-08-30 00:00:00,0-30,0.0,tetco
2014-08-31 00:00:00,0-30,0.0,tetco
2013-09-01 00:00:00,0-34,0.0,tetco
2013-09-02 00:00:00,0-34,0.0,tetco
2013-09-03 00:00:00,0-34,0.0,tetco
2013-09-04 00:00:00,0-34,0.0,tetco
2013-09-05 00:00:00,0-34,0.0,tetco
2013-09-06 00:00:00,0-34,0.0,tetco
2013-09-07 00:00:00,0-34,0.0,tetco
2013-09-08 00:00:00,0-34,0.0,tetco
2013-09-09 00:00:00,0-34,0.0,tetco
2013-09-10 00:00:00,0-34,5157.0,tetco
2013-09-11 00:00:00,0-34,10582.0,tetco
2013-09-12 00:00:00,0-34,9625.0,tetco
2013-09-13 00:00:00,0-34,2628.0,tetco
2013-09-14 00:00:00,0-34,0.0,tetco
2013-09-15 00:00:00,0-34,0.0,tetco
