date,attribute,value,pipeline
2006-09-01 00:00:00,0-30,0.0,tetco
2006-09-02 00:00:00,0-30,0.0,tetco
2006-09-03 00:00:00,0-30,0.0,tetco
2006-09-04 00:00:00,0-30,0.0,tetco
2006-09-05 00:00:00,0-30,0.0,tetco
2006-09-06 00:00:00,0-30,0.0,tetco
2006-09-07 00:00:00,0-30,0.0,tetco
2006-09-08 00:00:00,0-30,0.0,tetco
2006-09-09 00:00:00,0-30,0.0,tetco
2006-09-10 00:00:00,0-30,0.0,tetco
2006-09-11 00:00:00,0-30,0.0,tetco
2006-09-12 00:00:00,0-30,0.0,tetco
2006-09-13 00:00:00,0-30,0.0,tetco
2006-09-14 00:00:00,0-30,0.0,tetco
2006-09-15 00:00:00,0-30,0.0,tetco
2006-09-16 00:00:00,0-30,0.0,tetco
2006-09-17 00:00:00,0-30,0.0,tetco
2006-09-18 00:00:00,0-30,0.0,tetco
2006-09-19 00:00:00,0-30,0.0,tetco
2006-09-20 00:00:00,0-30,0.0,tetco
2006-09-21 00:00:00,0-30,0.0,tetco
2006-09-22 00:00:00,0-30,0.0,tetco
2006-09-23 00:00:00,0-30,0.0,tetco
2006-09-24 00:00:00,0-30,0.0,tetco
2006-09-25 00:00:00,0-30,0.0,tetco
2006-09-26 00:00:00,0-30,0.0,tetco
2006-09-27 00:00:00,0-30,0.0,tetco
2006-09-28 00:00:00,0-30,0.0,tetco
2006-09-29 00:00:00,0-30,0.0,tetco
2006-09-30 00:00:00,0-30,0.0,tetco
2006-10-01 00:00:00,0-30,0.0,tetco
2006-10-02 00:00:00,0-30,0.0,tetco
2006-10-03 00:00:00,0-30,0.0,tetco
2006-10-04 00:00:00,0-30,0.0,tetco
2006-10-05 00:00:00,0-30,0.0,tetco
2006-10-06 00:00:00,0-30,0.0,tetco
2006-10-07 00:00:00,0-30,0.0,tetco
2006-10-08 00:00:00,0-30,0.0,tetco
2006-10-09 00:00:00,0-30,0.0,tetco
2006-10-10 00:00:00,0-30,0.0,tetco
2006-10-11 00:00:00,0-30,0.0,tetco
2006-10-12 00:00:00,0-30,0.0,tetco
2006-10-13 00:00:00,0-30,78.0,tetco
2006-10-14 00:00:00,0-30,0.0,tetco
2006-10-15 00:00:00,0-30,16770.0,tetco
2006-10-16 00:00:00,0-30,0.0,tetco
2006-10-17 00:00:00,0-30,0.0,tetco
2006-10-18 00:00:00,0-30,0.0,tetco
2006-10-19 00:00:00,0-30,0.0,tetco
2006-10-20 00:00:00,0-30,0.0,tetco
2006-10-21 00:00:00,0-30,0.0,tetco
2006-10-22 00:00:00,0-30,0.0,tetco
2006-10-23 00:00:00,0-30,0.0,tetco
2006-10-24 00:00:00,0-30,18325.0,tetco
2006-10-25 00:00:00,0-30,29805.0,tetco
2006-10-26 00:00:00,0-30,31136.0,tetco
2006-10-27 00:00:00,0-30,26142.0,tetco
2006-10-28 00:00:00,0-30,14883.0,tetco
2006-10-29 00:00:00,0-30,28142.0,tetco
2006-10-30 00:00:00,0-30,1111.0,tetco
2006-10-31 00:00:00,0-30,0.0,tetco
2006-11-01 00:00:00,0-30,0.0,tetco
2006-11-02 00:00:00,0-30,16680.0,tetco
2006-11-03 00:00:00,0-30,60942.0,tetco
2006-11-04 00:00:00,0-30,72255.0,tetco
2006-11-05 00:00:00,0-30,66846.0,tetco
2006-11-06 00:00:00,0-30,45726.0,tetco
2006-11-07 00:00:00,0-30,18636.0,tetco
2006-11-08 00:00:00,0-30,21903.0,tetco
2006-11-09 00:00:00,0-30,20076.0,tetco
2006-11-10 00:00:00,0-30,32480.0,tetco
2006-11-11 00:00:00,0-30,15551.0,tetco
2006-11-12 00:00:00,0-30,7592.0,tetco
2006-11-13 00:00:00,0-30,26409.0,tetco
2006-11-14 00:00:00,0-30,18474.0,tetco
2006-11-15 00:00:00,0-30,14665.0,tetco
2006-11-16 00:00:00,0-30,11642.0,tetco
2006-11-17 00:00:00,0-30,34773.0,tetco
2006-11-18 00:00:00,0-30,35751.0,tetco
2006-11-19 00:00:00,0-30,53414.0,tetco
2006-11-20 00:00:00,0-30,63822.0,tetco
2006-11-21 00:00:00,0-30,69507.0,tetco
2006-11-22 00:00:00,0-30,59797.0,tetco
2006-11-23 00:00:00,0-30,46537.0,tetco
2006-11-24 00:00:00,0-30,42138.0,tetco
2006-11-25 00:00:00,0-30,36536.0,tetco
2006-11-26 00:00:00,0-30,34763.0,tetco
2006-11-27 00:00:00,0-30,32063.0,tetco
2006-11-28 00:00:00,0-30,35054.0,tetco
2006-11-29 00:00:00,0-30,32513.0,tetco
2006-11-30 00:00:00,0-30,16511.0,tetco
2006-12-01 00:00:00,0-30,30195.0,tetco
2006-12-02 00:00:00,0-30,51160.0,tetco
2006-12-03 00:00:00,0-30,72501.0,tetco
2006-12-04 00:00:00,0-30,76579.0,tetco
2006-12-05 00:00:00,0-30,80290.0,tetco
2006-12-06 00:00:00,0-30,54984.0,tetco
2006-12-07 00:00:00,0-30,65813.0,tetco
2006-12-08 00:00:00,0-30,84280.0,tetco
2006-12-09 00:00:00,0-30,80401.0,tetco
2006-12-10 00:00:00,0-30,60789.0,tetco
2006-12-11 00:00:00,0-30,41827.0,tetco
2006-12-12 00:00:00,0-30,35878.0,tetco
2006-12-13 00:00:00,0-30,38944.0,tetco
2006-12-14 00:00:00,0-30,46977.0,tetco
2006-12-15 00:00:00,0-30,45805.0,tetco
2006-12-16 00:00:00,0-30,46019.0,tetco
2006-12-17 00:00:00,0-30,46402.0,tetco
2006-12-18 00:00:00,0-30,34964.0,tetco
2006-12-19 00:00:00,0-30,70170.0,tetco
2006-12-20 00:00:00,0-30,75567.0,tetco
2006-12-21 00:00:00,0-30,69162.0,tetco
2006-12-22 00:00:00,0-30,49415.0,tetco
2006-12-23 00:00:00,0-30,40654.0,tetco
2006-12-24 00:00:00,0-30,55100.0,tetco
2006-12-25 00:00:00,0-30,51713.0,tetco
2006-12-26 00:00:00,0-30,51621.0,tetco
2006-12-27 00:00:00,0-30,73989.0,tetco
2006-12-28 00:00:00,0-30,63969.0,tetco
2006-12-29 00:00:00,0-30,60036.0,tetco
2006-12-30 00:00:00,0-30,63204.0,tetco
2006-12-31 00:00:00,0-30,52297.0,tetco
2007-01-01 00:00:00,0-30,45798.0,tetco
2007-01-02 00:00:00,0-30,47108.0,tetco
2007-01-03 00:00:00,0-30,56316.0,tetco
2007-01-04 00:00:00,0-30,46255.0,tetco
2007-01-05 00:00:00,0-30,25587.0,tetco
2007-01-06 00:00:00,0-30,32484.0,tetco
2007-01-07 00:00:00,0-30,45598.0,tetco
2007-01-08 00:00:00,0-30,58667.0,tetco
2007-01-09 00:00:00,0-30,72574.0,tetco
2007-01-10 00:00:00,0-30,80317.0,tetco
2007-01-11 00:00:00,0-30,73068.0,tetco
2007-01-12 00:00:00,0-30,62159.0,tetco
2007-01-13 00:00:00,0-30,34678.0,tetco
2007-01-14 00:00:00,0-30,44654.0,tetco
